代码,名称,总市值
2781,奇信退,0.94
2782,可立克,107.61
2783,凯龙股份,40.63
2785,万里石,107.31
2786,银宝山新,39.23
2787,华源控股,64.09
2788,鹭燕医药,57.85
2789,*ST建艺,22.55
2790,瑞尔特,19.03
2791,坚朗五金,41.8
2793,罗欣药业,58.64
2795,永和智控,41.49
2796,世嘉科技,135.33
2798,帝欧水华,40.4
2799,环球印务,27.71
2800,天顺股份,26.52
2801,微光股份,38.05
2802,洪汇新材,22.23
2803,吉宏股份,64.87
2805,丰元股份,69.2
2806,华锋股份,26.2
2807,江阴银行,110.34
2808,*ST恒久,5.29
2809,红墙股份,17.85
2810,山东赫达,92.14
2811,郑中设计,37.87
2813,路畅科技,32.19
2815,崇达技术,125.59
2816,*ST和科,24.67
2817,黄山胶囊,23.38
2818,富森美,34.7
2819,东方中科,65.09
2820,桂发祥,23.34
2822,ST中装,32.39
2823,凯中精密,36.25
2824,和胜股份,62.4
2825,纳尔股份,25.69
2826,易明医药,35.5
2827,高争民爆,90.97
2828,贝肯能源,22.97
2829,星网宇达,33.9
2830,名雕股份,15.61
